,DATE,REGION,AGEGROUP,SEX,DEATHS
588,2020-04-12,Wallonia,45-64,F,4
589,2020-04-12,Wallonia,65-74,M,8
590,2020-04-12,Wallonia,65-74,F,2
591,2020-04-12,Wallonia,75-84,M,16
592,2020-04-12,Wallonia,75-84,F,16
593,2020-04-12,Wallonia,85+,M,18
594,2020-04-12,Wallonia,85+,F,33
595,2020-04-12,Flanders,45-64,M,4
596,2020-04-12,Flanders,45-64,F,2
597,2020-04-12,Flanders,65-74,M,8
598,2020-04-12,Flanders,75-84,M,23
599,2020-04-12,Flanders,75-84,F,15
600,2020-04-12,Flanders,85+,M,35
601,2020-04-12,Flanders,85+,F,35
602,2020-04-12,Brussels,25-44,M,1
603,2020-04-12,Brussels,45-64,M,3
604,2020-04-12,Brussels,45-64,F,1
605,2020-04-12,Brussels,65-74,M,8
606,2020-04-12,Brussels,65-74,F,1
607,2020-04-12,Brussels,75-84,M,7
608,2020-04-12,Brussels,75-84,F,6
609,2020-04-12,Brussels,85+,M,4
610,2020-04-12,Brussels,85+,F,13
611,2020-04-13,Wallonia,45-64,M,4
612,2020-04-13,Wallonia,45-64,F,2
613,2020-04-13,Wallonia,65-74,M,6
614,2020-04-13,Wallonia,65-74,F,1
615,2020-04-13,Wallonia,75-84,M,13
616,2020-04-13,Wallonia,75-84,F,19
617,2020-04-13,Wallonia,85+,M,18
618,2020-04-13,Wallonia,85+,F,26
619,2020-04-13,Flanders,45-64,M,6
620,2020-04-13,Flanders,45-64,F,4
621,2020-04-13,Flanders,65-74,M,7
622,2020-04-13,Flanders,65-74,F,5
623,2020-04-13,Flanders,75-84,M,22
624,2020-04-13,Flanders,75-84,F,20
625,2020-04-13,Flanders,85+,M,35
626,2020-04-13,Flanders,85+,F,51
